"","x"
"(Intercept)",0.930091969460831
"V1",1.74034907220869
"V2",-3.32204489343678
"V3",1.58729817886854
"V4",-1.46027970692422
"V5",2.44860030253825
"V6",-0.37471948357384
"V7",1.45122373371325
"V8",-2.77002162205208
"V9",-0.604480077743511
"V10",3.47546844321434
"V11",-0.452540767260132
"V12",0.681548045272322
"V13",0.565878626945609
"V14",-3.61435989985641
"V15",-0.671106745552038
"V16",2.8845091607113
"V17",1.01981385138212
"V18",-2.08874044733972
"V19",-3.64634740838627
"V20",2.92762105978598
"V21",-1.76143114430256
"V22",-0.0393663770727737
"V23",-3.94905596548648
"V24",-1.69582349834493
"V25",0.905546988966702
"V26",-1.61773052609968
"V27",-1.38130446932765
"V28",0.557653511144581
"V29",-4.54827554102563
"V30",-4.60224038473468
"V31",1.4043685901665
"V32",3.78097478830204
"V33",0.553035489572469
"V34",1.54299430801754
"V35",-0.165623548347907
"V36",1.61623502191723
"V37",-4.76216955426264
"V38",-1.40762960979994
"V39",-2.33076686517749
"V40",3.30590634352149
"V41",-2.23325755905003
"V42",0.345813008094233
"V43",-3.46041207740396
"V44",-2.2572456204648
"V45",-0.152343860300325
"V46",5.34893719662558
"V47",2.50807463358196
"V48",3.37300416735766
"V49",0.117862967706002
"V50",1.15426617764797
"V51",0.710133888962458
"V52",-1.29839024785996
"V53",-4.90067327857473
"V54",5.91549880839105
"V55",-0.933128570449325
"V56",-0.709228545360403
"V57",1.36551784623246
"V58",0.338132172583175
"V59",-0.53773445494413
"V60",0.0526611550485547
"V61",1.83956608673912
"V62",0.219234047237324
"V63",-3.77129813367272
"V64",-4.35794524802605
"V65",4.09770877909442
"V66",-0.149606261273946
"V67",2.07714202697824
"V68",0.0416892457738536
"V69",3.85233965102915
"V70",-1.53890132142623
"V71",-3.64313480635748
"V72",-2.70985721875977
"V73",-0.939549095887235
"V74",-2.01710835998029
"V75",0.918905814123249
"V76",3.71888953395958
"V77",-4.99695494509861
"V78",1.15805956693688
"V79",1.54820905108597
"V80",0.299236837782106
"V81",6.02858473111762
"V82",-0.763276226437362
"V83",0.0994726259988666
"V84",0.17818524919047
"V85",2.68096547056765
"V86",5.43223961706377
"V87",2.39848205631491
"V88",-0.989150798155896
"V89",3.18971327961408
"V90",0.716890369466484
"V91",2.74291752120663
"V92",3.80040097073198
"V93",1.52373952818299
