"","x"
"V103",-1.90048641272314
"V104",-3.08548702341719
"V105",-1.46084099553509
"V106",0.300968161979327
"V107",-2.91880778480214
"V108",5.31158198165244
"V109",-3.07024856300166
"V110",1.67431287340735
"V111",1.47802615723738
"V112",8.74497289397186
"V113",1.29569854342829
"V114",3.88152508061592
"V115",2.50265948418879
"V116",0.0824230791490472
"V117",1.30939365830066
"V118",0.295577198120014
"V119",0.957371394830708
"V120",0.403356242295226
"V121",-2.26829725871756
"V122",0.573384905692536
"V123",4.31829967928134
"V124",1.79128958912083
"V125",-0.457447062796728
"V126",-0.675963252300897
"V127",-1.25648834242346
"V128",2.40540534977818
"V129",2.07126701837334
"V130",-2.15735131793136
"V131",0.506139689601745
"V132",-0.530197035885486
"V133",3.58629678622742
"V134",5.43947052359131
"V135",-2.20722608744914
"V136",0.790361543443084
"V137",-0.0190582343539667
"V138",-1.46005669142206
"V139",1.05632594872651
"V140",-0.358281783478229
"V141",-2.24043219742059
"V142",4.1296973888431
"V143",0.273293099617639
"V144",1.19137388177692
"V145",-3.27575922758751
"V146",-6.1609651883785
"V147",-0.948124830616095
"V148",-1.5083312576147
"V149",-0.845258315113676
"V150",-0.525768451017744
"V151",0.0929894112730078
"V152",-4.87385669318923
"V153",-1.48648154203468
"V154",0.0282463237452324
"V155",-2.12606469087216
"V156",-4.81298963446138
"V157",-2.45933305508057
"V158",-0.487154002396001
"V159",-4.12386691972531
"V160",4.10138115693723
"V161",-0.637100627965654
"V162",8.17956503932887
"V163",-3.07247052454741
"V164",0.869198621108453
"V165",0.527507158594651
"V166",-0.39905851678993
"V167",-0.167004765278531
"V168",-0.284880028788036
"V169",-1.85640922191947
"V170",-0.593968158312319
"V171",-3.74152038298496
"V172",15.5062138189708
"V173",0.358923260216399
"V174",2.51793777299013
"V175",-1.86341089789206
"V176",-0.103210730259787
"V177",1.54548939235861
"V178",3.54231098374347
"V179",-2.35255225449801
"V180",-0.438480757866503
"V181",1.5246944030946
"V182",0.441198377522798
"V183",2.71067988803059
"V184",1.04422967704224
"V185",-7.24842474759129
"V186",-1.19718561968716
"V187",-2.09960946720172
"V188",0.475668011105199
"V189",0.488360568370819
"V190",-1.2541337712897
"V191",-1.68107940618319
"V192",-0.620302512486829
"V193",-6.0189475544677
"V194",-0.521646743488833
"V195",1.4054828688774
"V196",1.33742695041503
"V197",1.24873708394212
"V198",-0.475312484781527
"V199",4.84686974474045
"V200",-3.16177727800011
"V201",-0.687533291161148
"V202",0.295734050983641
"V203",2.52513329037886
"V204",0.893147721560705
"V205",-0.469869230313764
"V206",-2.99892235709903
"V207",-1.49839361067332
"V208",-0.970720766316363
"V209",2.30732748029297
"V210",1.14789659993695
"V211",4.65711032008413
"V212",-1.62248060631306
"V213",2.26823046589815
"V214",-2.73492720760404
"V215",2.24074558721564
"V216",2.95242587758362
"V217",-0.195781933258476
"V218",1.56107493932956
"V219",0.80337411237989
"V220",-3.66521108145421
"V221",2.77593675367762
"V222",-4.96191945506902
"V223",-0.598210464826202
"V224",0.47847774373685
"V225",-1.78181366381301
"V226",-1.57922834374235
"V227",-0.652261421828599
"V228",-6.06259687401896
"V229",1.18786636273335
"V230",-0.344796428054546
"V231",0.226940460092098
"V232",3.38472461551513
"V233",0.614930355653143
"V234",0.845639866202752
"V235",2.67828933445114
"V236",-0.462387752619313
"V237",-1.0360716864745
"V238",6.10643741728389
"V239",-3.81985881475892
"V240",-1.54550935780899
"V241",-0.45864631033283
"V242",2.61853657127157
"V243",-0.820941270102593
"V244",1.80033587098212
"V245",1.54194291323919
"V246",-0.192827247418864
"V247",1.43501760876532
"V248",-0.888975661799034
"V249",1.46305650644561
"V250",-0.023319327847109
"V251",-2.38968072517766
"V252",-1.44506253932991
"V253",-2.51254744503798
"V254",1.46389445718483
"V255",-3.23865219307249
"V256",-0.782548889814812
"V257",-0.17653548477834
"V258",-3.02189641529859
"V259",4.48516175423761
"V260",3.01786101878225
"V261",0.193034793231481
"V262",1.08740598881229
"V263",1.24601088508068
"V264",-2.38552997323728
"V265",-2.15622973379277
"V266",-0.491619512787088
"V267",-1.40606703942623
"V268",1.27556561574963
"V269",3.65664652207007
"V270",-3.84487005485421
"V271",0.915168266612082
"V272",2.03287331467564
"V273",1.37335017426969
"V274",-5.37267421191303
"V275",0.405266855358436
"V276",-3.42109141184345
"V277",-1.69283030350776
"V278",-0.992500937364263
"V279",5.34098710369325
"V280",6.80147841986564
"V281",-0.407593407859749
"V282",-3.09483251318737
"V283",1.2891028826109
"V284",0.144323232349138
"V285",-2.02361772280445
"V286",1.64750088437755
"V287",-1.04999858687649
"V288",-0.138537385038752
"V289",4.99559250219492
"V290",0.852554496441506
"V291",1.08580873441275
"V292",0.823182876427116
"V293",-1.13669560673525
"V294",-1.23446655407983
"V295",2.70688809898099
"V296",-2.48114294710834
"V297",-1.37916993314197
"V298",-2.64159106401678
"V299",-0.8160392004922
"V300",-0.571068860400621
"V301",0.799039322291395
"V302",2.87107151333539
"V303",5.30493916202351
"V304",0.519807569691009
"V305",1.05415959818067
"V306",0.640544264275512
"V307",-1.26382490866385
"V308",2.05692184423965
"V309",1.77264705668709
"V310",-1.71488343284757
"V311",2.18512014090402
"V312",-0.255133210967432
"V313",0.401965786008052
"V314",0.707827701525707
"V315",0.106861061325903
"V316",-0.582238331973305
"V317",-1.5357693033817
"V318",-3.23010232171374
"V319",-0.708031236031506
"V320",-0.388831904924309
"V321",1.06138528099763
"V322",-1.34533445876276
"V323",1.20725147618354
"V324",3.42098485839653
"V325",-0.926195182049695
"V326",2.11867542386426
"V327",-2.32337159330144
"V328",0.4513877726553
"V329",5.1285971069252
"V330",0.000364734718151652
"V331",2.12442170333763
"V332",-0.0893007691920415
"V333",-0.480460669653531
"V334",-2.27790541286523
"V335",-0.14127979106238
"V336",1.56369218727099
"V337",-2.46270255988028
"V338",3.62065924357948
"V339",-1.68430631755255
"V340",-4.37810956590711
"V341",2.39388181649036
"V342",0.653185853984334
"V343",-3.90332673330498
"V344",-0.0898560325117859
"V345",1.41974541331382
"V346",-2.34940282613226
"V347",-0.28237717939269
"V348",0.927173615441321
"V349",-1.12015223408554
"V350",-3.09264501202435
"V351",5.1050676574306
"V352",-0.868695559618941
"V353",5.82650795499107
"V354",-1.79814259296635
"V355",2.19448862249149
"V356",-2.42506791983738
"V357",3.74805632137892
"V358",-0.218813066650587
"V359",0.731626798929557
"V360",-1.97129259184996
"V361",-3.78584688108342
"V362",3.79082912284
"V363",-5.34293585282453
"V364",-2.506101815676
"V365",-1.14833627567518
"V366",0.621765392235325
"V367",-4.6419120012433
"V368",0.65071593622924
"V369",-5.37238283760313
"V370",2.20691915496367
"V371",-1.19949798731754
"V372",1.38614427327857
"V373",0.0849674200349887
"V374",-0.799407879885394
"V375",0.11636133416363
"V376",4.35896453471854
"V377",0.763034804872083
"V378",-4.40296836486355
"V379",-0.0582745520218753
"V380",2.05720582990112
"V381",-1.0868109836571
"V382",1.25336489982872
"V383",1.62892350962667
"V384",-5.26079899296405
"V385",-11.1516087249716
"V386",3.28248083428027
"V387",0.432955529912783
"V388",-4.62845152041252
"V389",0.0699002931472204
"V390",1.79841455243011
"V391",4.14606977897464
"V392",-0.58662244089626
"V393",1.99881272186245
"V394",3.29720364314035
"V395",-0.994201562011594
"V396",-1.35632838363314
"V397",-3.79035971123411
"V398",-0.871582489798875
"V399",-1.66785790322309
"V400",1.96762502000112
"V401",0.768041595710033
"V402",1.90652427274745
"V403",-3.56149069793478
"V404",-0.152723182549534
"V405",3.58299513476034
"V406",-3.23580355560626
"V407",1.22948449093114
"V408",-0.351574248894585
"V409",1.70692420973866
"V410",-0.0181375586211258
"V411",8.7220457963434
"V412",-2.49645526802175
"V413",1.64410981725519
"V414",-3.01095100730873
"V415",-1.42847353584618
"V416",-3.15240828270664
"V417",3.99806881892628
"V418",1.4168192273174
"V419",2.02228980556469
"V420",3.58249936926213
"V421",-1.03138259239153
"V422",6.87298180814801
"V423",3.57256538428079
"V424",0.136670629854535
"V425",-1.31402705447149
"V426",1.96412333688938
"V427",4.65300759659462
"V428",-2.15341310216583
"V429",-1.10682878229586
"V430",1.94597065843224
"V431",1.19980316841546
"V432",2.10508516849805
"V433",0.282577655059507
"V434",2.02349145207242
"V435",5.48471547576379
"V436",1.45500689445964
"V437",1.87952636307611
"V438",-0.695000891833209
"V439",1.08914862073492
"V440",2.83051928707061
"V441",2.7270912972424
"V442",-5.83214615973754
"V443",0.787087181990002
"V444",-1.41569927916988
"V445",1.19386869556944
"V446",1.01601002902359
"V447",-0.645822826359675
"V448",-5.59823651094864
"V449",-0.0754084541440494
"V450",-4.12922325596831
"V451",2.17652037992276
"V452",-2.61921073984167
"V453",-1.54525228325761
"V454",-0.514476367892616
"V455",0.822591865165728
"V456",-3.46073153400898
"V457",-0.276851461667572
"V458",-3.43226312783556
"V459",5.70524260652871
"V460",0.616372046823409
"V461",-0.0349834525737382
"V462",0.262593392483828
"V463",3.46279416825464
"V464",-0.78844163422283
"V465",-2.3756954158351
"V466",-1.71645590417244
"V467",1.40938588776256
"V468",-2.91777523733996
"V469",0.886344005764212
"V470",-1.93004105671126
"V471",-3.35805745488709
"V472",1.70809729989446
"V473",0.824480359389551
"V474",-0.0263500242973111
"V475",-0.983271232032202
"V476",0.968646445090565
"V477",2.01726192509481
"V478",2.61597030275631
"V479",2.25036262445485
"V480",-1.74182519951479
"V481",-0.467447217459061
"V482",-2.49221415221112
"V483",5.40623460867005
"V484",0.207702577537039
"V485",0.0376070864958285
"V486",-1.67873387010609
"V487",0.552135257417997
"V488",-0.346361320209496
"V489",-0.801834835258532
"V490",2.02365750000328
"V491",0.936708819779569
"V492",1.46845297359093
"V493",-2.03544640491733
"V494",1.66360871073016
"V495",-1.23752481433389
"V496",2.544989277126
"V497",-4.75966667683855
"V498",4.62232275088538
"V499",5.0400044345526
"V500",0.178163355333433
"V501",-2.38295661198924
"V502",-1.85449369321765
"V503",3.24533486940864
"V504",1.39890085642363
"V505",0.208810158635328
"V506",-1.35026260883726
"V507",1.72402801986055
"V508",3.032744069343
"V509",2.55114559917142
"V510",-5.35794679040449
"V511",1.55408506516231
"V512",1.24829071592432
