"","x"
"(Intercept)",1.14896342796612
"V1",-5.2667186715881
"V2",-2.38438649636697
"V3",-0.315703452936443
"V4",0.538407809069914
"V5",2.97363757130827
"V6",0.776199959933546
"V7",-1.12313005040763
"V8",-1.33935319947268
"V9",-4.50311723852141
"V10",-2.17146011523306
"V11",-2.21326024480298
"V12",-0.86953115145386
"V13",1.03818211587837
"V14",-1.20056647857899
"V15",2.75561052144315
"V16",0.412783481098794
"V17",1.31954433575375
"V18",0.257845919071315
"V19",0.466954281258346
"V20",-3.57355429799176
"V21",-1.04284332489655
"V22",1.07612013760363
"V23",0.646157019513422
"V24",1.59231157538757
"V25",-5.03864545549332
"V26",-1.81453022134423
"V27",5.27322896654857
"V28",-1.79484139033936
"V29",2.97136230632909
"V30",2.66094741031464
"V31",-2.88847245822089
"V32",0.62471122856561
"V33",-4.3162343154702
"V34",0.353155529194533
"V35",-2.66501191376738
"V36",1.88790812829915
"V37",-0.753733515261673
"V38",0.976894375212562
"V39",1.74170392545952
"V40",6.4099255456671
"V41",0.0334127127609793
"V42",0.918275502763005
"V43",0.791698917351795
"V44",0.300390762357977
"V45",0.425705793311195
"V46",-2.30711257185465
"V47",0.767379658232933
"V48",1.77786775267879
"V49",-1.40751485379502
"V50",2.86998581238837
"V51",1.57033984637984
"V52",2.1060685813457
"V53",-2.24358165046033
"V54",0.197297416961192
"V55",4.55992946138063
"V56",-5.10623947502535
"V57",-0.936211153988234
"V58",6.29857700326058
"V59",1.08695595891481
"V60",1.08577765560834
"V61",-0.0368257201715401
"V62",-1.70008582109676
"V63",-0.343568136589861
"V64",-0.449102243947465
"V65",-5.12916316736909
"V66",-1.74072756706554
"V67",-6.23937044564203
"V68",-1.07484668801779
"V69",-0.140700134698933
"V70",1.45205691464444
"V71",-1.76774968887981
"V72",-4.28230107751408
"V73",-4.62832106004646
"V74",0.0874426534769787
"V75",1.50341815097417
"V76",2.2424933925011
"V77",-0.403538447224488
"V78",-0.425220578671056
"V79",-3.07655249935487
"V80",1.05914485149705
"V81",1.01292719840364
"V82",-4.8833507673179
"V83",-3.32145770462493
"V84",1.61552662441005
"V85",-7.90729397107749
"V86",-2.11277475670157
"V87",1.4453785137949
