"","x"
"(Intercept)",1.10530328877177
"V1",2.1253695921154
"V2",-0.406701099197616
"V3",-1.63057785973637
"V4",-0.627336592838041
"V5",3.10992582043725
"V6",0.709281532785827
"V7",0.00364426075562542
"V8",0.634676202969276
"V9",-0.881091862974616
"V10",-2.308036481517
"V11",1.95378401499464
"V12",0.651841786945234
"V13",0.538643449377035
"V14",1.01385067463933
"V15",0.897800048222754
"V16",-6.42396187907326
"V17",0.309810249218427
"V18",-0.974305518719582
"V19",-0.114422581297083
"V20",-4.73770179876023
"V21",2.1604695777704
"V22",-5.97963566573342
"V23",-1.57144161931426
"V24",-1.12194325451525
"V25",3.28157012544675
"V26",0.255511020092472
"V27",-2.4852951435829
"V28",-0.766412371782021
"V29",-1.64650452679131
"V30",-2.57792426401214
"V31",-2.33870658944925
"V32",2.52403208330898
"V33",-0.446478361874696
"V34",1.99574186211092
"V35",1.97542619387699
"V36",0.895008104189454
"V37",3.1396272421888
"V38",2.01970863029737
"V39",-1.25068421617736
"V40",2.0369374280657
"V41",-0.696539695463986
"V42",-1.92499400479322
"V43",-9.90734150647397
"V44",0.0252316517566974
"V45",-2.64240879830573
"V46",1.59735671252997
"V47",0.443133206218294
"V48",2.78630673700466
"V49",0.56141764677794
"V50",4.7056902689281
"V51",-0.430832834706905
"V52",0.240814813335724
"V53",3.80541807372305
"V54",1.01556618633136
"V55",2.79962378185316
"V56",4.83625232679255
"V57",0.445808180357415
"V58",-0.992436997228146
"V59",-1.03361405299549
"V60",2.58094241876061
"V61",-2.91139683610362
"V62",2.81680397260745
"V63",3.98427230045243
"V64",-0.375933007999094
"V65",-2.91309330684467
"V66",-1.10193804837785
"V67",-3.56550207095721
"V68",-0.242545255964828
"V69",-0.112893852907768
"V70",-1.18877519788495
"V71",1.10125078094723
"V72",4.28039842938742
"V73",-0.607744091117256
"V74",2.65813892579154
"V75",-0.365543253233008
"V76",0.819131503092142
"V77",-2.70577810102434
"V78",2.15531116544691
"V79",-6.71081210721905
"V80",0.320773589561227
"V81",7.58990580565669
"V82",1.20150953245799
"V83",0.339543611937528
"V84",-3.26981625144469
"V85",0.29074780671258
"V86",3.2856622437751
"V87",0.543257562831761
"V88",1.58044750455367
"V89",-0.198276794911511
"V90",-0.0388372683696438
"V91",-4.92194488209694
"V92",-2.28983562634036
"V93",-2.15422232118757
"V94",-1.50804508524955
"V95",1.19542736209347
